price,mileage,tax,mpg,engineSize,car_age,model_freq,brand_BMW,brand_Mercedes,brand_VW,transmission_Manual,transmission_Semi-Auto,fuelType_Hybrid,fuelType_Other,fuelType_Petrol
43995.0,4000,145,40.9,3.0,5,734,False,False,False,False,True,False,False,False
9791.0,98000,30,60.1,2.0,9,486,False,False,True,False,False,False,False,False
24990.0,8458,145,51.4,2.0,6,1028,True,False,False,False,False,False,False,False
19000.0,4000,150,39.8,2.0,6,1701,False,False,True,False,True,False,False,True
16442.0,58687,145,64.2,2.1,8,1966,False,True,False,False,False,False,False,False
16499.0,24230,30,64.2,1.6,9,196,False,False,True,False,True,False,False,False
17295.0,21068,20,74.3,1.5,9,1372,False,True,False,False,False,False,False,False
12440.0,18000,150,61.4,1.6,7,2532,False,False,True,True,False,False,False,False
20495.0,1500,145,44.8,1.5,5,709,False,False,False,False,True,False,False,True
27495.0,24525,145,42.8,3.0,7,182,False,False,True,False,True,False,False,False
53905.85000000006,958,145,30.1,4.0,6,1045,False,True,False,False,True,False,False,True
26500.0,3000,145,60.1,1.6,6,1966,False,True,False,False,True,False,False,False
23199.0,8942,145,46.3,1.5,7,1966,False,True,False,False,True,False,False,True
38103.0,8500,145,34.0,3.0,7,182,False,False,True,False,False,False,False,False
19832.0,15242,145,57.6,2.0,8,420,True,False,False,False,True,False,False,False
23849.0,5036,145,53.3,1.3,6,1372,False,True,False,False,True,False,False,True
32670.0,5820,145,70.6,2.0,6,1045,False,True,False,False,True,False,False,False
16000.0,23541,145,51.4,1.4,7,734,False,False,False,True,False,False,False,True
14250.0,29360,145,70.6,2.1,8,1372,False,True,False,False,True,False,False,False
23950.0,11942,150,42.2,1.5,6,1009,False,False,False,False,False,False,False,True
14500.0,23966,145,68.9,1.5,8,1372,False,True,False,True,False,False,False,False
29980.0,1998,145,47.1,1.5,6,1966,False,True,False,False,True,False,False,True
25332.0,6601,145,37.7,2.0,6,2532,False,False,True,True,False,False,False,True
53905.85000000006,2242,145,32.8,2.9,5,248,False,True,False,False,False,False,False,False
31690.0,25,145,32.8,2.0,6,2532,False,False,True,False,False,False,False,True
13553.0,17787,125,52.3,1.5,9,1028,True,False,False,True,False,False,False,True
27995.0,1000,145,54.3,2.0,5,1323,True,False,False,True,False,False,False,False
19152.0,21235,30,62.8,2.0,8,2532,False,False,True,False,True,False,False,False
20157.0,13848,145,57.7,2.0,8,2532,False,False,True,False,False,False,False,False
20200.0,25449,145,67.3,2.1,8,1966,False,True,False,False,False,False,False,False
31888.0,4000,145,47.1,2.0,6,750,False,False,False,False,False,False,False,False
15998.0,39549,30,64.2,2.0,10,382,False,False,False,False,True,False,False,False
14728.0,34217,145,53.3,2.0,8,133,False,False,True,True,False,False,False,False
25879.0,1000,145,53.3,1.3,5,1372,False,True,False,False,True,False,False,True
18795.0,46294,20,67.3,2.1,8,1966,False,True,False,False,False,False,False,False
34640.0,2824,150,42.8,3.0,6,1045,False,True,False,False,True,False,False,False
25990.0,6000,145,42.2,1.5,6,750,False,False,False,True,False,False,False,True
15995.0,59069,30,68.9,2.0,8,569,True,False,False,False,False,False,False,False
11463.0,74572,20,68.9,2.0,9,486,False,False,True,True,False,False,False,False
8110.0,27155,20,60.1,1.0,9,1701,False,False,True,True,False,False,False,True
19790.0,100,145,50.4,1.5,6,2532,False,False,True,True,False,False,False,True
12995.0,23200,20,68.9,2.1,10,313,False,True,False,False,False,False,False,False
16872.0,23435,160,47.9,3.0,11,1045,False,True,False,False,True,False,False,False
17490.0,36969,145,48.7,1.4,8,917,False,False,True,True,False,False,False,True
13490.0,48000,200,47.9,2.0,11,750,False,False,False,False,False,False,False,False
30000.0,1500,145,40.9,0.0,5,750,False,False,False,False,False,False,False,True
17130.0,27556,160,49.6,2.0,10,750,False,False,False,True,False,False,False,False
15985.0,2057,145,52.3,1.0,6,1701,False,False,True,True,False,False,False,True
13391.0,38172,145,72.4,1.5,8,1372,False,True,False,True,False,False,False,False
24000.0,4500,145,50.4,2.0,6,1009,False,False,False,False,True,False,False,False
35980.0,8088,145,54.3,2.0,6,289,True,False,False,False,True,False,False,False
25450.0,11208,145,52.3,2.0,6,1323,True,False,False,False,True,False,False,False
17336.0,62118,145,56.5,2.0,9,382,False,False,False,False,False,False,False,False
28850.0,11354,145,58.9,2.0,6,1045,False,True,False,False,True,False,False,False
20999.0,4923,145,47.9,2.0,6,668,True,False,False,False,True,False,False,True
24998.0,44847,125,56.5,2.1,8,497,False,True,False,False,True,False,False,False
10199.0,58654,160,52.3,2.1,12,1966,False,True,False,True,False,False,False,False
12000.0,25679,30,55.4,1.4,8,709,False,False,False,True,False,False,False,True
18700.0,30874,145,47.1,2.0,8,123,False,False,True,False,True,False,False,True
9600.0,29553,145,58.9,1.0,8,1701,False,False,True,True,False,False,False,True
16500.0,17290,145,45.6,1.0,6,2532,False,False,True,False,True,False,False,True
32950.0,2000,145,45.6,2.0,6,457,False,False,False,False,False,False,False,False
30777.0,3925,145,44.1,1.5,5,1009,False,False,False,False,True,False,False,True
25790.0,2500,145,38.7,1.5,6,196,False,False,True,False,True,False,False,True
5830.0,43258,20,60.1,1.0,11,447,False,False,True,True,False,False,False,True
16999.0,2718,150,49.6,1.0,5,1009,False,False,False,True,False,False,False,True
33889.0,25,145,33.2,2.0,5,486,False,False,True,False,False,False,False,True
16490.0,32868,30,67.3,2.0,9,734,False,False,False,True,False,False,False,False
31450.0,10,145,60.1,2.0,5,534,True,False,False,False,True,False,False,False
29480.0,3999,145,54.3,1.6,6,1966,False,True,False,False,True,False,False,False
13995.0,34328,125,61.4,2.0,9,1323,True,False,False,True,False,False,False,False
19501.0,47046,145,49.6,2.0,8,917,False,False,True,False,True,False,False,False
16290.0,18984,160,49.6,2.0,10,917,False,False,True,False,True,False,False,False
13995.0,12148,145,67.3,1.0,8,709,False,False,False,True,False,False,False,True
20990.0,2139,145,53.3,1.5,6,668,True,False,False,False,True,False,False,True
22990.0,2766,145,50.4,2.0,6,668,True,False,False,False,False,False,False,True
53905.85000000006,3392,150,32.5,2.9,5,248,False,True,False,False,True,False,False,False
14999.0,46107,200,40.9,2.0,9,457,False,False,False,True,False,False,False,True
11976.0,26089,30,55.4,1.5,9,668,True,False,False,True,False,False,False,True
27490.0,3001,145,42.2,1.5,5,384,False,False,True,True,False,False,False,True
22995.0,5674,145,52.3,1.4,8,442,False,False,False,False,True,False,False,True
17500.0,9020,150,65.7,2.0,8,1028,True,False,False,False,False,False,False,False
24995.0,26668,235,42.8,3.0,9,182,False,False,True,False,False,False,False,False
21995.0,16998,145,43.5,1.5,6,2532,False,False,True,False,True,False,False,True
15995.0,49487,125,57.6,2.0,10,1009,False,False,False,False,True,False,False,False
19000.0,19821,165,49.6,2.0,9,750,False,False,False,True,False,False,False,False
21999.0,36926,145,61.4,2.0,7,1966,False,True,False,False,False,False,False,False
38990.0,5476,145,31.0,2.0,6,750,False,False,False,False,True,False,False,True
20990.0,18707,145,57.6,2.0,8,486,False,False,True,False,True,False,False,False
12300.0,73370,20,67.3,2.0,9,2532,False,False,True,True,False,False,False,False
25280.0,4944,145,58.9,2.1,7,1966,False,True,False,False,False,False,False,False
19495.0,23397,125,57.6,2.0,8,420,True,False,False,False,True,False,False,False
12998.0,59811,150,56.5,2.0,12,382,False,False,False,False,True,False,False,False
14995.0,48641,125,61.4,2.1,10,1045,False,True,False,False,False,False,False,False
31990.0,5000,145,51.4,2.0,6,457,False,False,False,False,False,False,False,False
18698.0,12303,145,41.5,1.5,6,486,False,False,True,False,True,False,False,True
13300.0,34176,30,56.5,1.4,10,709,False,False,False,True,False,False,False,True
17490.0,25000,20,64.2,2.1,9,461,False,True,False,False,False,False,False,False
17564.0,8684,145,45.6,1.0,6,2532,False,False,True,False,True,False,False,True
21810.0,1550,145,44.8,1.6,6,461,False,True,False,False,True,False,False,True
22199.0,12980,145,45.6,1.3,6,313,False,True,False,False,True,False,False,True
25000.0,100,145,53.3,1.4,6,457,False,False,False,False,False,False,False,True
29990.0,10013,145,49.6,3.0,6,534,True,False,False,False,True,False,False,False
21195.0,32000,145,61.4,2.0,8,382,False,False,False,False,True,False,False,False
24495.0,100,145,55.4,2.0,5,313,False,True,False,False,True,False,False,False
12599.0,33622,20,60.1,1.4,9,1009,False,False,False,True,False,False,False,True
15950.0,5000,145,52.3,1.0,6,1701,False,False,True,True,False,False,False,True
31995.0,9500,145,52.3,2.0,6,420,True,False,False,False,False,False,False,False
9712.0,60901,20,68.9,2.0,9,1009,False,False,False,True,False,False,False,False
28342.0,10025,145,44.1,2.0,7,1966,False,True,False,False,True,False,False,True
43990.0,6500,145,39.2,3.0,6,734,False,False,False,False,False,False,False,False
29499.0,43380,200,47.9,3.0,9,217,False,False,False,False,False,False,False,False
19999.0,4187,145,65.7,1.5,7,1372,False,True,False,False,True,False,False,False
9000.0,37338,150,60.1,1.2,8,1701,False,False,True,True,False,False,False,True
25900.0,11001,145,47.9,2.0,6,734,False,False,False,False,False,False,False,False
9700.0,38044,20,60.1,1.2,9,1701,False,False,True,True,False,False,False,True
11000.0,38689,20,72.4,1.6,10,1009,False,False,False,False,False,False,False,False
8990.0,75142,30,57.6,1.4,12,1009,False,False,False,False,True,False,False,True
11999.0,35153,20,70.6,1.5,10,1372,False,True,False,False,True,False,False,False
20899.0,10750,30,64.2,2.0,9,1009,False,False,False,True,False,False,False,False
24500.0,2246,145,43.5,1.5,6,1009,False,False,False,False,True,False,False,True
9020.0,56767,125,53.3,1.4,13,709,False,False,False,False,False,False,False,True
23990.0,20500,145,50.4,2.0,7,457,False,False,False,False,False,False,False,True
24591.0,9153,145,60.1,2.0,6,1323,True,False,False,False,True,False,False,False
12700.0,24592,20,68.9,2.0,9,1028,True,False,False,False,False,False,False,False
19499.0,12389,125,57.6,2.0,9,420,True,False,False,False,False,False,False,False
11300.0,20567,30,57.6,1.4,10,709,False,False,False,True,False,False,False,True
16498.0,19394,20,67.3,2.0,9,2532,False,False,True,True,False,False,False,False
30799.0,7031,145,61.4,2.0,6,1966,False,True,False,False,True,False,False,False
7841.0,48570,20,60.1,1.2,9,1701,False,False,True,True,False,False,False,True
13998.0,39857,30,65.7,1.6,8,196,False,False,True,False,True,False,False,False
16671.0,20482,30,62.8,2.0,8,750,False,False,False,True,False,False,False,False
8499.0,70000,125,58.9,2.0,13,457,False,False,False,False,False,False,False,False
22800.0,7899,150,52.3,1.4,7,442,False,False,False,False,True,False,False,True
14490.0,12146,145,45.6,1.0,7,1701,False,False,True,False,True,False,False,True
15995.0,38000,125,60.1,2.1,10,1045,False,True,False,False,True,False,False,False
10995.0,94806,30,65.7,2.0,10,1009,False,False,False,True,False,False,False,False
10490.0,4117,150,52.3,1.0,6,447,False,False,True,True,False,False,False,True
17500.0,14037,145,54.3,1.5,7,1028,True,False,False,False,False,False,False,True
22490.0,15985,145,39.8,3.0,8,1028,True,False,False,False,True,False,False,True
20766.0,2633,145,43.5,1.5,6,2532,False,False,True,False,True,False,False,True
22750.0,5433,145,47.9,1.6,6,442,False,False,False,True,False,False,False,False
21890.0,11,145,50.4,1.5,5,668,True,False,False,False,True,False,False,True
9720.0,65723,20,68.9,2.0,9,2532,False,False,True,True,False,False,False,False
44736.0,6056,145,37.7,3.0,6,260,True,False,False,False,True,False,False,False
33750.0,2877,145,45.6,2.0,6,1045,False,True,False,False,False,False,False,False
